"id_estudiante","nombre","correo","fecha_ingreso","calificacion","trabajos_extraescolares"
1,"Ana Gómez","ana@ejemplo.com","2025-12-05",10.00,"dibujo"
2,"Isabel","juan.1@email.com","2025-11-17",3.00,"dibujo"
3,"Luis","isabel.2@email.com","2025-08-29",4.00,"canto"
4,"Luis","juan.3@email.com","2025-03-05",6.00,"dibujo"
6,"Isabel","juan.5@email.com","2025-05-06",5.00,"poesia"
7,"Ana","luis.6@email.com","2025-01-12",5.00,"poesia"
8,"Ana","ana.7@email.com","2025-05-31",2.00,"poesia"
9,"Jose","carlos.8@email.com","2026-03-23",7.00,"dibujo"
10,"Pedro","maria.9@email.com","2025-04-09",4.00,"canto"
11,"Ana","isabel.10@email.com","2025-03-25",1.00,"poesia"
12,"Isabel","sofia.11@email.com","2026-02-03",8.00,"canto"
13,"Carlos","jose.12@email.com","2026-02-06",3.00,"poesia"
14,"Isabel","luis.13@email.com","2025-06-03",1.00,"dibujo"
15,"Jose","carlos.14@email.com","2025-09-25",9.00,"poesia"
16,"Elena","luis.15@email.com","2025-04-10",3.00,"poesia"
17,"Ana","jose.16@email.com","2025-12-03",2.00,"poesia"
18,"Carlos","pedro.17@email.com","2025-09-17",7.00,"dibujo"
19,"Ana","luis.18@email.com","2025-08-30",10.00,"poesia"
20,"Luis","jose.19@email.com","2026-04-07",8.00,"dibujo"
21,"Luis","maria.20@email.com","2025-12-19",9.00,"poesia"
22,"Juan","luis.21@email.com","2026-02-28",2.00,"canto"
23,"Isabel","pedro.22@email.com","2025-09-02",4.00,"poesia"
24,"Elena","pedro.23@email.com","2025-07-26",7.00,"dibujo"
25,"Pedro","maria.24@email.com","2025-12-10",7.00,"poesia"
26,"Sofia","elena.25@email.com","2025-04-13",2.00,"poesia"
27,"Juan","ana.26@email.com","2025-12-30",9.00,"poesia"
28,"Pedro","carlos.27@email.com","2025-02-28",2.00,"dibujo"
29,"Pedro","maria.28@email.com","2025-11-05",2.00,"dibujo"
30,"Sofia","pedro.29@email.com","2025-01-09",2.00,"canto"
31,"Jose","carlos.30@email.com","2025-03-19",5.00,"poesia"
32,"Maria","luis.31@email.com","2025-09-02",3.00,"poesia"
33,"Elena","sofia.32@email.com","2026-03-14",9.00,"dibujo"
34,"Juan","jose.33@email.com","2026-03-18",3.00,"canto"
35,"Jose","luis.34@email.com","2026-05-13",1.00,"dibujo"
36,"Jose","elena.35@email.com","2025-10-26",1.00,"canto"
37,"Isabel","sofia.36@email.com","2025-11-12",8.00,"poesia"
38,"Pedro","ana.37@email.com","2026-03-20",8.00,"dibujo"
39,"Ana","ana.38@email.com","2025-03-15",5.00,"dibujo"
40,"Juan","isabel.39@email.com","2026-04-17",10.00,"poesia"
41,"Maria","pedro.40@email.com","2026-01-21",6.00,"dibujo"
42,"Elena","carlos.41@email.com","2025-02-13",3.00,"canto"
43,"Ana","luis.42@email.com","2025-07-24",3.00,"poesia"
44,"Sofia","isabel.43@email.com","2025-08-01",3.00,"dibujo"
45,"Maria","ana.44@email.com","2026-06-05",6.00,"poesia"
46,"Jose","jose.45@email.com","2025-02-27",2.00,"dibujo"
47,"Carlos","carlos.46@email.com","2025-07-10",5.00,"poesia"
48,"Isabel","ana.47@email.com","2025-07-20",9.00,"poesia"
49,"Elena","jose.48@email.com","2025-05-04",8.00,"poesia"
50,"Maria","pedro.49@email.com","2026-03-11",7.00,"canto"
51,"Sofia","maria.50@email.com","2025-09-07",1.00,"poesia"
52,"Luis","isabel.51@email.com","2026-03-29",3.00,"dibujo"
53,"Ana","elena.52@email.com","2025-11-21",5.00,"canto"
54,"Jose","luis.53@email.com","2025-10-05",7.00,"dibujo"
55,"Jose","ana.54@email.com","2025-02-14",3.00,"dibujo"
56,"Sofia","ana.55@email.com","2025-09-04",5.00,"dibujo"
57,"Jose","carlos.56@email.com","2025-03-21",6.00,"poesia"
58,"Elena","ana.57@email.com","2025-04-21",9.00,"dibujo"
59,"Isabel","luis.58@email.com","2026-05-23",2.00,"poesia"
60,"Luis","pedro.59@email.com","2026-05-11",1.00,"poesia"
61,"Luis","carlos.60@email.com","2025-12-12",3.00,"dibujo"
62,"Carlos","maria.61@email.com","2026-03-18",8.00,"dibujo"
63,"Elena","sofia.62@email.com","2026-04-03",9.00,"dibujo"
64,"Sofia","isabel.63@email.com","2025-08-13",2.00,"poesia"
65,"Juan","elena.64@email.com","2025-07-07",2.00,"dibujo"
66,"Maria","ana.65@email.com","2025-07-08",10.00,"dibujo"
67,"Ana","maria.66@email.com","2025-05-31",8.00,"poesia"
68,"Luis","pedro.67@email.com","2026-01-25",7.00,"canto"
69,"Jose","carlos.68@email.com","2026-05-10",3.00,"canto"
70,"Jose","ana.69@email.com","2025-02-19",2.00,"canto"
71,"Maria","pedro.70@email.com","2025-12-20",5.00,"poesia"
72,"Ana","elena.71@email.com","2026-04-02",7.00,"canto"
73,"Carlos","ana.72@email.com","2026-04-11",9.00,"poesia"
74,"Sofia","jose.73@email.com","2026-02-22",8.00,"poesia"
75,"Isabel","maria.74@email.com","2026-06-03",5.00,"dibujo"
76,"Carlos","elena.75@email.com","2026-01-09",3.00,"dibujo"
77,"Sofia","sofia.76@email.com","2025-01-23",2.00,"canto"
78,"Jose","isabel.77@email.com","2026-05-06",8.00,"poesia"
79,"Carlos","sofia.78@email.com","2026-05-21",8.00,"canto"
80,"Elena","carlos.79@email.com","2025-10-23",9.00,"canto"
81,"Luis","elena.80@email.com","2025-10-17",6.00,"poesia"
82,"Juan","juan.81@email.com","2026-02-02",5.00,"dibujo"
83,"Ana","maria.82@email.com","2026-03-21",5.00,"canto"
84,"Sofia","jose.83@email.com","2025-01-13",5.00,"poesia"
85,"Carlos","ana.84@email.com","2025-02-26",7.00,"canto"
86,"Elena","maria.85@email.com","2026-05-25",3.00,"canto"
87,"Sofia","sofia.86@email.com","2026-03-04",4.00,"canto"
88,"Carlos","jose.87@email.com","2025-02-23",9.00,"canto"
89,"Sofia","jose.88@email.com","2025-09-16",2.00,"canto"
90,"Juan","maria.89@email.com","2025-03-26",1.00,"poesia"
91,"Juan","pedro.90@email.com","2026-04-09",5.00,"canto"
92,"Pedro","ana.91@email.com","2025-04-18",1.00,"canto"
93,"Maria","carlos.92@email.com","2025-03-18",6.00,"poesia"
94,"Ana","ana.93@email.com","2025-06-21",10.00,"poesia"
95,"Isabel","elena.94@email.com","2025-03-17",9.00,"dibujo"
96,"Jose","isabel.95@email.com","2025-06-21",9.00,"poesia"
97,"Juan","isabel.96@email.com","2025-03-15",4.00,"dibujo"
98,"Luis","elena.97@email.com","2026-02-22",7.00,"poesia"
99,"Sofia","isabel.98@email.com","2025-11-25",8.00,"poesia"
100,"Elena","isabel.99@email.com","2025-01-31",6.00,"canto"
101,"Pedro","elena.100@email.com","2025-07-13",3.00,"dibujo"
102,"Ana Gómez","Ana@correo.mail","2020-12-03",9.00,"poesia"
105,"Ana gómez","Ana@correo.email","2026-06-12",9.00,"poesia"
