"id_empleado","nombre","correo","fecha_contrato","salario","ventas"
1,"Pedro","juan.1@email.com","2025-09-26",1573.00,"Impresora"
2,"Elena","luis.2@email.com","2025-06-04",1474.00,"Laptop"
3,"Ana","ana.3@email.com","2026-02-14",2660.00,"Teclado"
4,"Isabel","isabel.4@email.com","2025-08-24",4633.00,"Impresora"
6,"Carlos","pedro.6@email.com","2025-03-16",1441.00,"Mouse"
7,"Sofia","ana.7@email.com","2025-10-17",4426.00,"Monitor"
8,"Pedro","isabel.8@email.com","2026-05-29",450.00,"Laptop"
9,"Juan","elena.9@email.com","2026-06-01",2531.00,"Monitor"
10,"Carlos","jose.10@email.com","2025-04-19",1393.00,"Impresora"
11,"Sofia","maria.11@email.com","2026-06-03",4199.00,"Laptop"
12,"Elena","jose.12@email.com","2025-03-25",2113.00,"Mouse"
13,"Sofia","ana.13@email.com","2025-01-02",1393.00,"Laptop"
14,"Sofia","carlos.14@email.com","2025-01-02",1133.00,"Teclado"
15,"Maria","jose.15@email.com","2025-12-13",3409.00,"Mouse"
16,"Sofia","sofia.16@email.com","2026-05-05",4628.00,"Laptop"
17,"Sofia","pedro.17@email.com","2025-06-26",4048.00,"Impresora"
18,"Pedro","maria.18@email.com","2025-10-11",3362.00,"Laptop"
19,"Elena","carlos.19@email.com","2025-10-31",3517.00,"Monitor"
20,"Elena","carlos.20@email.com","2025-04-17",2153.00,"Laptop"
21,"Pedro","carlos.21@email.com","2025-01-26",4687.00,"Teclado"
22,"Elena","carlos.22@email.com","2026-01-30",3637.00,"Impresora"
23,"Juan","sofia.23@email.com","2025-09-07",4611.00,"Laptop"
24,"Luis","ana.24@email.com","2025-10-29",3398.00,"Mouse"
25,"Maria","elena.25@email.com","2025-09-19",4121.00,"Laptop"
26,"Maria","jose.26@email.com","2026-04-02",2825.00,"Teclado"
27,"Juan","pedro.27@email.com","2025-08-30",2917.00,"Teclado"
28,"Elena","juan.28@email.com","2025-01-07",3679.00,"Laptop"
29,"Jose","maria.29@email.com","2026-05-09",4634.00,"Monitor"
30,"Jose","luis.30@email.com","2026-02-25",4274.00,"Monitor"
31,"Juan","carlos.31@email.com","2025-09-05",2279.00,"Teclado"
32,"Ana","maria.32@email.com","2026-03-03",2300.00,"Laptop"
33,"Isabel","carlos.33@email.com","2026-04-10",1033.00,"Teclado"
34,"Elena","jose.34@email.com","2025-02-03",249.00,"Mouse"
35,"Luis","ana.35@email.com","2026-03-24",3079.00,"Mouse"
36,"Luis","isabel.36@email.com","2025-02-13",4695.00,"Laptop"
37,"Isabel","carlos.37@email.com","2025-05-01",1871.00,"Monitor"
38,"Sofia","jose.38@email.com","2026-04-20",211.00,"Mouse"
39,"Sofia","carlos.39@email.com","2025-06-23",1303.00,"Teclado"
40,"Maria","juan.40@email.com","2026-02-13",1389.00,"Impresora"
41,"Ana","isabel.41@email.com","2026-05-12",4929.00,"Teclado"
42,"Carlos","carlos.42@email.com","2025-09-26",4363.00,"Mouse"
43,"Juan","isabel.43@email.com","2025-05-08",3501.00,"Laptop"
44,"Maria","pedro.44@email.com","2026-05-27",4824.00,"Monitor"
45,"Sofia","jose.45@email.com","2026-03-20",2494.00,"Impresora"
46,"Juan","elena.46@email.com","2025-09-06",2622.00,"Impresora"
47,"Maria","isabel.47@email.com","2025-12-15",1241.00,"Mouse"
48,"Jose","carlos.48@email.com","2026-04-14",3880.00,"Monitor"
49,"Carlos","elena.49@email.com","2025-07-10",2853.00,"Laptop"
50,"Elena","sofia.50@email.com","2025-10-24",2271.00,"Mouse"
51,"Elena","pedro.51@email.com","2025-04-17",1038.00,"Impresora"
52,"Ana","sofia.52@email.com","2025-09-18",2084.00,"Monitor"
53,"Carlos","sofia.53@email.com","2026-04-09",2353.00,"Impresora"
54,"Carlos","maria.54@email.com","2025-02-28",3948.00,"Mouse"
55,"Ana","carlos.55@email.com","2025-06-20",3132.00,"Mouse"
56,"Ana","maria.56@email.com","2026-01-11",1673.00,"Teclado"
57,"Isabel","elena.57@email.com","2025-07-18",206.00,"Monitor"
58,"Maria","juan.58@email.com","2025-12-19",2656.00,"Mouse"
59,"Elena","juan.59@email.com","2025-12-13",723.00,"Impresora"
60,"Elena","elena.60@email.com","2025-12-18",1574.00,"Laptop"
61,"Carlos","luis.61@email.com","2025-04-21",3636.00,"Impresora"
62,"Elena","maria.62@email.com","2025-03-08",2649.00,"Monitor"
63,"Juan","ana.63@email.com","2026-05-24",1425.00,"Mouse"
64,"Juan","pedro.64@email.com","2025-06-27",3305.00,"Impresora"
65,"Carlos","isabel.65@email.com","2026-03-26",3532.00,"Mouse"
66,"Ana","pedro.66@email.com","2025-10-09",3243.00,"Monitor"
67,"Ana","juan.67@email.com","2025-04-30",4798.00,"Teclado"
68,"Pedro","sofia.68@email.com","2026-06-11",973.00,"Monitor"
69,"Maria","carlos.69@email.com","2026-05-16",1125.00,"Laptop"
70,"Luis","sofia.70@email.com","2025-04-08",1892.00,"Laptop"
71,"Luis","sofia.71@email.com","2026-06-06",1002.00,"Mouse"
72,"Elena","jose.72@email.com","2025-12-12",4875.00,"Teclado"
73,"Sofia","sofia.73@email.com","2026-05-26",771.00,"Laptop"
74,"Isabel","maria.74@email.com","2025-02-24",1047.00,"Laptop"
75,"Jose","juan.75@email.com","2025-03-21",3514.00,"Laptop"
76,"Ana","luis.76@email.com","2025-04-30",3016.00,"Mouse"
77,"Elena","ana.77@email.com","2025-11-15",4367.00,"Laptop"
78,"Ana","elena.78@email.com","2025-04-14",4518.00,"Teclado"
79,"Ana","ana.79@email.com","2025-09-20",3852.00,"Monitor"
80,"Jose","luis.80@email.com","2025-02-07",4314.00,"Impresora"
81,"Carlos","pedro.81@email.com","2026-04-24",4721.00,"Impresora"
82,"Elena","maria.82@email.com","2025-01-10",3119.00,"Teclado"
83,"Elena","jose.83@email.com","2025-03-10",4325.00,"Teclado"
